"clinic","client","gender","age","breed","food_quality","area","year","weight","BMI"
4,4,"M",10,"Persian","III","suburban","2018",7.9,20
4,5,"F",9,"Siamese","II","suburban","2017",10.9,22
4,5,"F",9,"Siamese","II","suburban","2018",11.3,23
4,6,"F",5,"Persian","II","rural","2017",4.8,19
4,6,"F",5,"Persian","II","rural","2018",5.3,16
4,7,"F",7,"American Shorthair","I","urban","2017",11.8,31
4,7,"F",7,"American Shorthair","I","urban","2018",12.3,25
4,8,"M",2,"Maincoon","I","suburban","2017",3.9,14
4,8,"M",2,"Maincoon","I","suburban","2018",4.3,12
4,9,"F",8,"Siamese","II","urban","2017",6.4,13
4,9,"F",8,"Siamese","II","urban","2018",7.2,18
4,10,"M",12,"British Shorthair","I","urban","2017",15.4,27
4,10,"M",12,"British Shorthair","I","urban","2018",16,30
4,11,"F",5,"Burmese","II","suburban","2017",13.5,40
4,11,"F",5,"Burmese","II","suburban","2018",14.3,31
4,12,"M",8,"Persian","II","urban","2017",11.7,30
4,12,"M",8,"Persian","II","urban","2018",12.1,28
4,13,"F",10,"Maincoon","III","urban","2017",18.7,38
4,13,"F",10,"Maincoon","III","urban","2018",19,36
4,14,"M",1,"British Shorthair","III","suburban","2017",9.6,18
4,14,"M",1,"British Shorthair","III","suburban","2018",9.9,22
4,15,"F",7,"Maincoon","I","suburban","2017",16.4,34
4,15,"F",7,"Maincoon","I","suburban","2018",16.7,30
4,16,"M",8,"British Shorthair","II","urban","2017",7.6,15
4,16,"M",8,"British Shorthair","II","urban","2018",8.1,18
4,17,"F",15,"Persian","III","rural","2017",11.7,36
4,17,"F",15,"Persian","III","rural","2018",11.8,28
4,18,"M",17,"American Shorthair","II","urban","2017",6.2,11
4,18,"M",17,"American Shorthair","II","urban","2018",6.4,17
4,19,"F",12,"American Shorthair","I","rural","2017",12.8,33
4,19,"F",12,"American Shorthair","I","rural","2018",13.6,27
4,20,"M",5,"Burmese","II","suburban","2017",2.6,11
4,20,"M",5,"Burmese","II","suburban","2018",2.6,13
5,1,"F",13,"American Shorthair","III","suburban","2017",6.7,18
5,1,"F",13,"American Shorthair","III","suburban","2018",6.7,16
5,2,"F",8,"Maincoon","IV","suburban","2017",8,20
5,2,"F",8,"Maincoon","IV","suburban","2018",8.6,21
5,3,"F",13,"Persian","IV","rural","2017",6.9,24
5,3,"F",13,"Persian","IV","rural","2018",6.9,21
5,4,"F",3,"Burmese","I","rural","2017",9.5,34
5,4,"F",3,"Burmese","I","rural","2018",10.2,24
5,5,"M",17,"Burmese","II","urban","2017",8.1,24
5,5,"M",17,"Burmese","II","urban","2018",8.2,21
5,6,"M",10,"Persian","II","urban","2017",12.5,32
5,6,"M",10,"Persian","II","urban","2018",12.8,28
5,7,"F",11,"Maincoon","III","urban","2017",15.7,30
5,7,"F",11,"Maincoon","III","urban","2018",16,31
5,8,"M",22,"Persian","I","urban","2017",11.4,30
5,8,"M",22,"Persian","I","urban","2018",11.4,27
5,9,"M",18,"American Shorthair","II","suburban","2017",9.8,17
5,9,"M",18,"American Shorthair","II","suburban","2018",10.2,21
5,10,"F",18,"Persian","III","urban","2017",9.2,29
5,10,"F",18,"Persian","III","urban","2018",9.3,23
5,11,"F",5,"American Shorthair","IV","urban","2017",10.7,28
5,11,"F",5,"American Shorthair","IV","urban","2018",10.8,25
5,12,"M",14,"Maincoon","IV","urban","2017",14.1,27
5,12,"M",14,"Maincoon","IV","urban","2018",15,28
5,13,"M",20,"American Shorthair","II","urban","2017",10.7,19
5,13,"M",20,"American Shorthair","II","urban","2018",10.9,20
5,14,"M",12,"American Shorthair","II","suburban","2017",8.8,16
5,14,"M",12,"American Shorthair","II","suburban","2018",10,20
5,15,"M",7,"Burmese","II","urban","2017",10.2,28
5,15,"M",7,"Burmese","II","urban","2018",10.6,26
5,16,"F",13,"Burmese","IV","urban","2017",2.7,14
5,16,"F",13,"Burmese","IV","urban","2018",4.1,14
5,17,"F",15,"Burmese","I","rural","2017",9.2,33
5,17,"F",15,"Burmese","I","rural","2018",10.1,23
5,18,"F",6,"American Shorthair","II","urban","2017",9.1,24
5,18,"F",6,"American Shorthair","II","urban","2018",9.4,20
5,19,"F",13,"Persian","IV","urban","2017",8,26
5,19,"F",13,"Persian","IV","urban","2018",8.4,23
5,20,"M",6,"Maincoon","II","rural","2017",12.8,27
5,20,"M",6,"Maincoon","II","rural","2018",14.1,27
6,1,"M",16,"Siamese","I","rural","2017",11.9,20
6,1,"M",16,"Siamese","I","rural","2018",12.6,24
6,2,"F",12,"American Shorthair","II","suburban","2017",12.8,34
6,2,"F",12,"American Shorthair","II","suburban","2018",13,27
6,3,"M",12,"British Shorthair","III","suburban","2017",11.2,21
6,3,"M",12,"British Shorthair","III","suburban","2018",12.1,23
6,4,"M",11,"Burmese","I","suburban","2017",6.5,20
6,4,"M",11,"Burmese","I","suburban","2018",6.9,18
6,5,"M",2,"Maincoon","II","urban","2017",8.3,20
6,5,"M",2,"Maincoon","II","urban","2018",8.5,20
6,6,"F",14,"Burmese","II","suburban","2017",8.6,31
6,6,"F",14,"Burmese","II","suburban","2018",8.7,23
6,7,"F",18,"British Shorthair","I","suburban","2017",16.9,39
6,7,"F",18,"British Shorthair","I","suburban","2018",17.6,32
6,8,"F",8,"American Shorthair","IV","suburban","2017",6.3,17
6,8,"F",8,"American Shorthair","IV","suburban","2018",6.6,19
6,9,"F",10,"American Shorthair","III","suburban","2017",11.8,31
6,9,"F",10,"American Shorthair","III","suburban","2018",11.9,24
6,10,"F",9,"Persian","I","suburban","2017",7.6,25
6,10,"F",9,"Persian","I","suburban","2018",8,21
6,11,"F",8,"Maincoon","II","suburban","2017",9.2,22
6,11,"F",8,"Maincoon","II","suburban","2018",9.3,22
6,12,"F",6,"Persian","I","suburban","2017",10.6,33
6,12,"F",6,"Persian","I","suburban","2018",10.8,27
6,13,"M",16,"Siamese","II","rural","2017",10.4,18
6,13,"M",16,"Siamese","II","rural","2018",10.4,20
6,14,"F",12,"American Shorthair","I","rural","2017",15.1,39
6,14,"F",12,"American Shorthair","I","rural","2018",15.3,29
6,15,"F",12,"American Shorthair","II","rural","2017",8.8,24
6,15,"F",12,"American Shorthair","II","rural","2018",9.5,20
6,16,"M",13,"British Shorthair","I","suburban","2017",6.1,13
6,16,"M",13,"British Shorthair","I","suburban","2018",6.2,17
6,17,"F",8,"Maincoon","II","urban","2017",7.8,19
6,17,"F",8,"Maincoon","II","urban","2018",8.6,19
6,18,"M",2,"Siamese","III","urban","2017",7.9,14
6,18,"M",2,"Siamese","III","urban","2018",8.3,18
6,19,"F",18,"British Shorthair","IV","rural","2017",13.1,30
6,19,"F",18,"British Shorthair","IV","rural","2018",13.2,26
6,20,"F",5,"Burmese","I","urban","2017",9.3,33
6,20,"F",5,"Burmese","I","urban","2018",10,23
7,1,"F",10,"British Shorthair","I","suburban","2017",12.9,30
7,1,"F",10,"British Shorthair","I","suburban","2018",13,25
7,2,"F",16,"Persian","III","rural","2017",9.9,31
7,2,"F",16,"Persian","III","rural","2018",9.9,24
7,3,"M",8,"Persian","IV","suburban","2017",11.5,30
7,3,"M",8,"Persian","IV","suburban","2018",12.2,25
7,4,"F",19,"Persian","III","rural","2017",12.5,38
7,4,"F",19,"Persian","III","rural","2018",12.5,30
7,5,"F",9,"Siamese","III","rural","2017",14.1,28
7,5,"F",9,"Siamese","III","rural","2018",14.2,27
7,6,"F",15,"Maincoon","I","rural","2017",10.2,22
7,6,"F",15,"Maincoon","I","rural","2018",10.7,21
7,7,"F",12,"American Shorthair","III","urban","2017",8.9,24
7,7,"F",12,"American Shorthair","III","urban","2018",8.9,21
7,8,"F",10,"Burmese","I","urban","2017",10.5,36
7,8,"F",10,"Burmese","I","urban","2018",10.7,26
7,9,"M",14,"Persian","II","suburban","2017",11.4,30
7,9,"M",14,"Persian","II","suburban","2018",11.6,27
7,10,"M",12,"American Shorthair","II","rural","2017",8.2,15
7,10,"M",12,"American Shorthair","II","rural","2018",8.5,19
7,11,"M",10,"Siamese","II","suburban","2017",13.4,22
7,11,"M",10,"Siamese","II","suburban","2018",13.6,28
7,12,"F",14,"Siamese","I","suburban","2017",9.4,19
7,12,"F",14,"Siamese","I","suburban","2018",9.7,21
7,13,"M",12,"Siamese","II","suburban","2017",10.3,17
7,13,"M",12,"Siamese","II","suburban","2018",10.5,23
7,14,"F",9,"British Shorthair","II","rural","2017",9.5,22
7,14,"F",9,"British Shorthair","II","rural","2018",9.9,21
7,15,"M",11,"Siamese","III","urban","2017",10.2,17
7,15,"M",11,"Siamese","III","urban","2018",10.8,24
7,16,"F",8,"Burmese","II","urban","2017",1.2,10
7,16,"F",8,"Burmese","II","urban","2018",1.5,12
7,17,"F",11,"British Shorthair","I","rural","2017",11.9,28
7,17,"F",11,"British Shorthair","I","rural","2018",12,24
7,18,"M",8,"Maincoon","II","urban","2017",8.5,20
7,18,"M",8,"Maincoon","II","urban","2018",8.5,20
7,19,"F",17,"American Shorthair","I","urban","2017",9.5,25
7,19,"F",17,"American Shorthair","I","urban","2018",10.5,21
7,20,"M",4,"Persian","I","suburban","2017",5.8,17
7,20,"M",4,"Persian","I","suburban","2018",5.8,18
8,1,"F",6,"Persian","II","urban","2017",8.5,28
8,1,"F",6,"Persian","II","urban","2018",9,22
8,2,"F",19,"Maincoon","I","urban","2017",10.6,24
8,2,"F",19,"Maincoon","I","urban","2018",10.9,23
8,3,"M",2,"American Shorthair","I","urban","2017",13.8,24
8,3,"M",2,"American Shorthair","I","urban","2018",13.8,26
8,4,"F",4,"Burmese","I","rural","2017",10.9,38
8,4,"F",4,"Burmese","I","rural","2018",11,26
8,5,"F",15,"American Shorthair","II","urban","2017",12.5,33
8,5,"F",15,"American Shorthair","II","urban","2018",13.3,25
8,6,"M",9,"American Shorthair","I","urban","2017",5.3,10
8,6,"M",9,"American Shorthair","I","urban","2018",5.4,15
8,7,"M",3,"Siamese","II","urban","2017",11.9,20
8,7,"M",3,"Siamese","II","urban","2018",12.1,24
8,8,"F",15,"Persian","IV","urban","2017",4.1,15
8,8,"F",15,"Persian","IV","urban","2018",4,16
8,9,"F",9,"Persian","III","urban","2017",15.2,40
8,9,"F",9,"Persian","III","urban","2018",15,33
8,10,"F",5,"Maincoon","III","suburban","2017",11.8,25
8,10,"F",5,"Maincoon","III","suburban","2018",12.1,25
8,11,"M",11,"Siamese","I","urban","2017",7.8,14
8,11,"M",11,"Siamese","I","urban","2018",8.2,19
8,12,"M",5,"Burmese","III","urban","2017",8.9,25
8,12,"M",5,"Burmese","III","urban","2018",9.1,24
8,13,"F",5,"Siamese","III","suburban","2017",12,24
8,13,"F",5,"Siamese","III","suburban","2018",12.3,25
8,14,"F",11,"Burmese","I","urban","2017",11.9,40
8,14,"F",11,"Burmese","I","urban","2018",12.6,29
8,15,"F",11,"Siamese","I","urban","2017",14.6,29
8,15,"F",11,"Siamese","I","urban","2018",15,29
8,16,"F",10,"American Shorthair","IV","suburban","2017",4,10
8,16,"F",10,"American Shorthair","IV","suburban","2018",4.3,10
8,17,"F",10,"Maincoon","III","suburban","2017",14.3,30
8,17,"F",10,"Maincoon","III","suburban","2018",14.3,30
8,18,"F",7,"American Shorthair","III","rural","2017",6,17
8,18,"F",7,"American Shorthair","III","rural","2018",6.9,16
8,19,"F",16,"American Shorthair","II","suburban","2017",13,34
8,19,"F",16,"American Shorthair","II","suburban","2018",13.2,27
8,20,"F",9,"Persian","III","suburban","2017",4.8,18
8,20,"F",9,"Persian","III","suburban","2018",5.3,16
9,1,"M",11,"Siamese","I","rural","2017",10.6,18
9,1,"M",11,"Siamese","I","rural","2018",11.6,23
9,2,"M",8,"Maincoon","III","urban","2017",12,26
9,2,"M",8,"Maincoon","III","urban","2018",12.2,23
9,3,"M",11,"Persian","I","urban","2017",15.2,38
9,3,"M",11,"Persian","I","urban","2018",15,31
9,4,"F",10,"Persian","II","rural","2017",7.1,24
9,4,"F",10,"Persian","II","rural","2018",7.9,20
9,5,"M",4,"Persian","I","suburban","2017",15.2,39
9,5,"M",4,"Persian","I","suburban","2018",15,33
9,6,"M",4,"Siamese","II","urban","2017",7,13
9,6,"M",4,"Siamese","II","urban","2018",7.9,17
9,7,"M",5,"Persian","III","rural","2017",7.9,22
9,7,"M",5,"Persian","III","rural","2018",8.2,20
9,8,"M",15,"Siamese","I","suburban","2017",9.3,16
9,8,"M",15,"Siamese","I","suburban","2018",9.5,22
9,9,"F",12,"Persian","I","urban","2017",6.4,23
9,9,"F",12,"Persian","I","urban","2018",7,19
9,10,"F",18,"Burmese","I","suburban","2017",10.4,36
9,10,"F",18,"Burmese","I","suburban","2018",11.4,26
9,11,"M",8,"Persian","II","suburban","2017",10.1,27
9,11,"M",8,"Persian","II","suburban","2018",10.5,25
9,12,"M",11,"Burmese","I","suburban","2017",2.4,10
9,12,"M",11,"Burmese","I","suburban","2018",2.6,12
9,13,"F",15,"American Shorthair","IV","rural","2017",8.4,23
9,13,"F",15,"American Shorthair","IV","rural","2018",8.9,18
9,14,"M",16,"Burmese","III","suburban","2017",4.2,14
9,14,"M",16,"Burmese","III","suburban","2018",4.3,16
9,15,"F",10,"Maincoon","II","rural","2017",14.7,30
9,15,"F",10,"Maincoon","II","rural","2018",14.8,30
9,16,"M",14,"British Shorthair","I","rural","2017",13.5,24
9,16,"M",14,"British Shorthair","I","rural","2018",13.7,27
9,17,"M",10,"Burmese","III","urban","2017",10.3,29
9,17,"M",10,"Burmese","III","urban","2018",10.9,27
9,18,"F",12,"Siamese","IV","rural","2017",16.6,33
9,18,"F",12,"Siamese","IV","rural","2018",16.6,34
9,19,"M",5,"Persian","I","suburban","2017",9.1,25
9,19,"M",5,"Persian","I","suburban","2018",10.5,24
9,20,"F",9,"Persian","II","urban","2017",9.8,31
9,20,"F",9,"Persian","II","urban","2018",10.4,24
10,1,"F",11,"British Shorthair","III","suburban","2017",8.1,19
10,1,"F",11,"British Shorthair","III","suburban","2018",8.3,19
10,2,"F",11,"American Shorthair","I","urban","2017",17.2,40
10,2,"F",11,"American Shorthair","I","urban","2018",17.2,32
10,3,"M",4,"Persian","III","urban","2017",8.5,23
10,3,"M",4,"Persian","III","urban","2018",8.9,22
10,4,"M",13,"Burmese","II","urban","2017",7,21
10,4,"M",13,"Burmese","II","urban","2018",7.4,22
10,5,"F",11,"Burmese","II","suburban","2017",7.4,27
10,5,"F",11,"Burmese","II","suburban","2018",7.6,20
10,6,"M",11,"Persian","II","suburban","2017",15.2,38
10,6,"M",11,"Persian","II","suburban","2018",15,32
10,7,"F",5,"American Shorthair","II","urban","2017",8.1,22
10,7,"F",5,"American Shorthair","II","urban","2018",8.7,19
10,8,"M",13,"American Shorthair","I","rural","2017",12.5,22
10,8,"M",13,"American Shorthair","I","rural","2018",13,25
10,9,"M",8,"British Shorthair","II","suburban","2017",10.3,19
10,9,"M",8,"British Shorthair","II","suburban","2018",10.4,22
10,10,"F",9,"British Shorthair","II","rural","2017",13.7,32
10,10,"F",9,"British Shorthair","II","rural","2018",14,26
10,11,"F",6,"Maincoon","II","urban","2017",13.7,27
10,11,"F",6,"Maincoon","II","urban","2018",14,26
10,12,"M",13,"Persian","II","rural","2017",5.7,17
10,12,"M",13,"Persian","II","rural","2018",6.1,19
10,13,"M",5,"Persian","I","suburban","2017",4.1,10
10,13,"M",5,"Persian","I","suburban","2018",4,14
10,14,"M",9,"Maincoon","III","suburban","2017",16.7,33
10,14,"M",9,"Maincoon","III","suburban","2018",17,32
10,15,"M",6,"Burmese","IV","urban","2017",14.8,39
10,15,"M",6,"Burmese","IV","urban","2018",14.8,32
10,16,"F",3,"Persian","III","suburban","2017",7.3,25
10,16,"F",3,"Persian","III","suburban","2018",7.7,19
10,17,"M",8,"Burmese","II","urban","2017",13.2,35
10,17,"M",8,"Burmese","II","urban","2018",13.6,30
10,18,"F",6,"Burmese","II","suburban","2017",10.5,37
10,18,"F",6,"Burmese","II","suburban","2018",11.1,26
10,19,"F",9,"Burmese","IV","urban","2017",8.2,30
10,19,"F",9,"Burmese","IV","urban","2018",8.3,23
10,20,"M",8,"Persian","II","rural","2017",10.8,28
10,20,"M",8,"Persian","II","rural","2018",11.1,25
11,1,"M",10,"Burmese","II","suburban","2017",8.6,25
11,1,"M",10,"Burmese","II","suburban","2018",9.3,21
11,2,"F",5,"Burmese","I","urban","2017",10.9,38
11,2,"F",5,"Burmese","I","urban","2018",11.9,27
11,3,"F",8,"Siamese","III","urban","2017",12.2,25
11,3,"F",8,"Siamese","III","urban","2018",13,24
11,4,"M",13,"American Shorthair","IV","suburban","2017",12.3,22
11,4,"M",13,"American Shorthair","IV","suburban","2018",12.6,25
11,5,"F",16,"Siamese","II","suburban","2017",10.7,22
11,5,"F",16,"Siamese","II","suburban","2018",10.9,24
11,6,"M",8,"Burmese","III","urban","2017",9.8,27
11,6,"M",8,"Burmese","III","urban","2018",10.3,24
11,7,"M",13,"Burmese","III","urban","2017",13,35
11,7,"M",13,"Burmese","III","urban","2018",13.4,28
11,8,"M",10,"American Shorthair","III","urban","2017",13.4,23
11,8,"M",10,"American Shorthair","III","urban","2018",13.6,28
11,9,"F",5,"American Shorthair","II","suburban","2017",12.3,32
11,9,"F",5,"American Shorthair","II","suburban","2018",13.1,24
11,10,"M",9,"American Shorthair","III","urban","2017",11.9,21
11,10,"M",9,"American Shorthair","III","urban","2018",12.2,24
11,11,"M",7,"Burmese","IV","suburban","2017",8.7,25
11,11,"M",7,"Burmese","IV","suburban","2018",8.9,23
11,12,"F",10,"American Shorthair","II","suburban","2017",6.9,19
11,12,"F",10,"American Shorthair","II","suburban","2018",7.4,17
11,13,"M",12,"Burmese","I","rural","2017",6.4,19
11,13,"M",12,"Burmese","I","rural","2018",6.9,19
11,14,"M",5,"American Shorthair","I","urban","2017",14,24
11,14,"M",5,"American Shorthair","I","urban","2018",14.2,25
11,15,"F",7,"Burmese","II","rural","2017",9.3,33
11,15,"F",7,"Burmese","II","rural","2018",9.6,24
11,16,"M",4,"Siamese","II","urban","2017",9.6,16
11,16,"M",4,"Siamese","II","urban","2018",10.8,22
11,17,"M",3,"Siamese","I","suburban","2017",13.1,22
11,17,"M",3,"Siamese","I","suburban","2018",13.2,25
11,18,"M",4,"American Shorthair","II","suburban","2017",8.1,14
11,18,"M",4,"American Shorthair","II","suburban","2018",9.2,19
11,19,"F",9,"Burmese","III","urban","2017",9.6,34
11,19,"F",9,"Burmese","III","urban","2018",9.6,24
11,20,"F",9,"American Shorthair","II","urban","2017",8.7,23
11,20,"F",9,"American Shorthair","II","urban","2018",8.8,18
12,1,"M",6,"Persian","II","suburban","2017",7,20
12,1,"M",6,"Persian","II","suburban","2018",7.7,19
12,2,"M",7,"Burmese","III","urban","2017",10.4,29
12,2,"M",7,"Burmese","III","urban","2018",10.9,25
12,3,"F",9,"Burmese","II","rural","2017",7,26
12,3,"F",9,"Burmese","II","rural","2018",7.2,19
12,4,"F",12,"Maincoon","II","suburban","2017",11,24
12,4,"F",12,"Maincoon","II","suburban","2018",11.7,24
12,5,"F",8,"Maincoon","I","suburban","2017",12.3,27
12,5,"F",8,"Maincoon","I","suburban","2018",13.2,24
12,6,"M",7,"Maincoon","III","suburban","2017",8.3,18
12,6,"M",7,"Maincoon","III","suburban","2018",8.5,18
12,7,"F",5,"Burmese","III","urban","2017",15,40
12,7,"F",5,"Burmese","III","urban","2018",15.2,35
12,8,"M",12,"British Shorthair","II","suburban","2017",13.8,25
12,8,"M",12,"British Shorthair","II","suburban","2018",14.2,28
12,9,"F",6,"Maincoon","II","suburban","2017",12.1,26
12,9,"F",6,"Maincoon","II","suburban","2018",12.4,24
12,10,"F",3,"American Shorthair","III","suburban","2017",6.3,17
12,10,"F",3,"American Shorthair","III","suburban","2018",6.7,15
12,11,"M",17,"Maincoon","IV","suburban","2017",14.1,29
12,11,"M",17,"Maincoon","IV","suburban","2018",14.9,28
12,12,"F",5,"Burmese","III","suburban","2017",12.6,40
12,12,"F",5,"Burmese","III","suburban","2018",13.5,28
12,13,"M",10,"American Shorthair","I","urban","2017",12.6,22
12,13,"M",10,"American Shorthair","I","urban","2018",12.9,24
12,14,"M",14,"Burmese","I","suburban","2017",10.2,28
